"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"4661","27.865328","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=211399 Ack=4358603 Win=28880 Len=0 TSval=1653221367 TSecr=1784754196"
"4662","27.865345","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4361499 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4663","27.865381","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=211399 Ack=4361499 Win=28856 Len=0 TSval=1653221367 TSecr=1784754196"
"4664","27.875423","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4362947 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4665","27.875445","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4364395 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4666","27.875461","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4365843 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4667","27.875492","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4367291 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4668","27.875522","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ESTablish INDication "
"4669","27.875533","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=211399 Ack=4364395 Win=29004 Len=0 TSval=1653221377 TSecr=1784754196"
"4670","27.875549","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4370187 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4671","27.875580","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=211399 Ack=4368739 Win=28968 Len=0 TSval=1653221377 TSecr=1784754196"
"4672","27.875601","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4371635 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4673","27.875636","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4373083 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4674","27.875636","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=211399 Ack=4371635 Win=28944 Len=0 TSval=1653221377 TSecr=1784754196"
"4675","27.875658","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4374531 Ack=211399 Win=16088 Len=1448 TSval=1784754196 TSecr=1653221347"
"4676","27.875675","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4375979 Ack=211399 Win=16088 Len=1448 TSval=1784754205 TSecr=1653221347"
"4677","27.875694","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4377427 Ack=211399 Win=16088 Len=1448 TSval=1784754205 TSecr=1653221347"
"4678","27.875721","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4378875 Ack=211399 Win=16088 Len=1448 TSval=1784754205 TSecr=1653221347"
"4679","27.875752","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4380323 Ack=211399 Win=16088 Len=1448 TSval=1784754205 TSecr=1653221347"
"4680","27.875772","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=211399 Ack=4378875 Win=28880 Len=0 TSval=1653221377 TSecr=1784754196"
"4681","27.875789","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4381771 Ack=211399 Win=16088 Len=1448 TSval=1784754205 TSecr=1653221347"
"4682","27.875828","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=211399 Ack=4381771 Win=28856 Len=0 TSval=1653221378 TSecr=1784754205"
"4683","27.875846","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4383219 Ack=211399 Win=16088 Len=1448 TSval=1784754205 TSecr=1653221347"
"4684","27.875882","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access MDCX ACK "
"4685","27.876639","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
